Date,Open,High,Low,Close,Adj Close,Volume,,,
2022-07-18,1712.2,1712.4,1709.2,1709.2,1709.2,721,,,
2022-07-15,1705.4,1709.7,1701.1,1702.4,1702.4,721,,,
2022-07-14,1710.3,1710.5,1704.5,1704.5,1704.5,1289,,,
2022-07-13,1710,1734.2,1710,1734.2,1734.2,368,,,
2022-07-12,1734.2,1735.5,1723.3,1723.3,1723.3,451,,,
2022-07-11,1732.5,1736.7,1730,1730,1730,75,,,
2022-07-08,1738.1,1749.3,1732.1,1740.6,1740.6,370,,,
2022-07-07,1745.2,1745.2,1737,1737.9,1737.9,1869,,,
2022-07-06,1762.5,1768,1734,1734.9,1734.9,1729,,,
2022-07-05,1805.4,1805.4,1761.8,1761.8,1761.8,64,,,
2022-07-01,1795.5,1806.1,1791.6,1798.9,1798.9,77,,,
2022-06-30,1809.6,1817.3,1801,1804.1,1804.1,328,,,
2022-06-29,1818.3,1830.3,1812.8,1813.7,1813.7,173,,,
2022-06-28,1824.2,1826,1817.5,1817.5,1817.5,391,,,
2022-06-27,1830.5,1830.7,1819.9,1820.9,1820.9,77,,,
2022-06-24,1820.5,1826.5,1815.8,1826.5,1826.5,61,,,
2022-06-23,1835.5,1841.2,1825.7,1825.7,1825.7,9,,,
2022-06-22,1829.5,1842.7,1821.6,1834.3,1834.3,115,,,
2022-06-21,1835.3,1838.6,1830.1,1834.6,1834.6,216,,,
2022-06-17,1853.7,1853.7,1833.6,1835.6,1835.6,170,,,
2022-06-16,1819.2,1850.6,1814.9,1845.7,1845.7,136,,,
2022-06-15,1814.1,1839,1810.8,1815.3,1815.3,108,,,
2022-06-14,1825,1825.5,1805.3,1809.5,1809.5,536,,,
2022-06-13,1873.8,1873.8,1818.7,1828,1828,127,,,
2022-06-10,1842.7,1875.6,1823.9,1871.5,1871.5,1490,,,
2022-06-09,1846.1,1850.1,1837.9,1848.8,1848.8,159,,,
2022-06-08,1844.8,1855,1844.4,1851.9,1851.9,218,,,
2022-06-07,1836.9,1851.6,1835,1847.5,1847.5,1168,,,
2022-06-06,1849,1854.1,1839.2,1839.2,1839.2,142,,,
2022-06-03,1867.6,1871.8,1845.4,1845.4,1845.4,53,,,
2022-06-02,1845.4,1868.7,1842.1,1866.5,1866.5,551,,,
2022-06-01,1831,1847.9,1825.3,1843.3,1843.3,1623,,,
2022-05-31,1850.3,1862.1,1832.8,1842.7,1842.7,4073,,,
2022-05-27,1848.3,1860.7,1845.9,1851.3,1851.3,30091,,,
2022-05-26,1840.4,1847.4,1840.4,1847.4,1847.4,123355,,,
2022-05-25,1846.2,1846.2,1846.2,1846.2,1846.2,-,,,
2022-05-24,1852.5,1867,1852.5,1865.1,1865.1,33,,,
2022-05-23,1846.3,1863,1845.8,1847.8,1847.8,216,,,
2022-05-20,1839.1,1841.8,1836.3,1841.8,1841.8,110,,,
2022-05-19,1810.9,1841.2,1810.7,1841.2,1841.2,138,,,
2022-05-18,1815,1819.7,1805,1815.9,1815.9,311,,,
2022-05-17,1824.9,1828.6,1816.7,1818.2,1818.2,121,,,
2022-05-16,1790.5,1813.5,1787,1813.5,1813.5,34,,,
2022-05-13,1825,1825,1807.4,1807.4,1807.4,335,,,
2022-05-12,1849.8,1851.9,1822.2,1823.8,1823.8,153,,,
2022-05-11,1841.5,1852.6,1841,1852.6,1852.6,892,,,
2022-05-10,1839.9,1839.9,1839.9,1839.9,1839.9,1540,,,
2022-05-09,1866.6,1867.5,1854,1857.1,1857.1,304,,,
2022-05-06,1874.7,1890.3,1871.5,1881.2,1881.2,214,,,
2022-05-05,1897,1904.3,1874,1874,1874,80,,,
2022-05-04,1867,1867,1867,1867,1867,1,,,
2022-05-03,1868.8,1868.8,1868.8,1868.8,1868.8,466,,,
2022-05-02,1896.7,1896.8,1853,1861.8,1861.8,385,,,
2022-04-29,1902.7,1918.2,1902.4,1909.3,1909.3,132,,,
2022-04-28,1883.8,1893,1872.9,1888.7,1888.7,513,,,
2022-04-27,1897.8,1900.6,1882.2,1885.9,1885.9,1786,,,
2022-04-26,1900.5,1909.1,1894,1901.4,1901.4,302,,,
2022-04-25,1925,1925,1889.3,1893.2,1893.2,748,,,
2022-04-22,1949.6,1950.4,1930.2,1931,1931,178,,,
2022-04-21,1942.5,1944.9,1942.5,1944.9,1944.9,4,,,
2022-04-20,1945.5,1953.6,1945.5,1952.3,1952.3,621,,,
2022-04-19,1973.8,1978.3,1945.7,1955.7,1955.7,130,,,
2022-04-18,1973.4,1997.1,1972.8,1982.9,1982.9,196,,,
2022-04-14,1977.2,1978.7,1963,1970.9,1970.9,101,,,
2022-04-13,1969.5,1981,1969.5,1981,1981,204,,,
2022-04-12,1952.5,1977.1,1950.6,1972.1,1972.1,246,,,
2022-04-11,1946.6,1968.4,1941.8,1944.3,1944.3,163,,,
2022-04-08,1928.8,1947.7,1928.8,1941.6,1941.6,153,,,
2022-04-07,1919.5,1934.8,1919.5,1933.8,1933.8,311,,,
2022-04-06,1916.7,1931.8,1916.7,1918.4,1918.4,138,,,
2022-04-05,1927.1,1943.5,1918.4,1922.9,1922.9,412,,,
2022-04-04,1921.2,1936.1,1915.6,1929.2,1929.2,371,,,
2022-04-01,1935,1938,1917,1919.1,1919.1,1016,,,
2022-03-31,1933.5,1949.9,1919.1,1949.2,1949.2,3617,,,
2022-03-30,1918.4,1937,1914.5,1933.5,1933.5,17765,,,
2022-03-29,1893.5,1912,1893.5,1912,1912,128051,,,
2022-03-28,1932.6,1939.6,1932.6,1939.6,1939.6,7,,,
2022-03-25,1953.8,1953.8,1953.8,1953.8,1953.8,83,,,
2022-03-24,1963.6,1964,1961.6,1961.6,1961.6,8,,,
2022-03-23,1936.6,1936.6,1936.6,1936.6,1936.6,204,,,
2022-03-22,1920.7,1920.7,1920.7,1920.7,1920.7,26,,,
2022-03-21,1925.4,1928.6,1925,1928.6,1928.6,5,,,
2022-03-18,1934.5,1939.3,1928.2,1928.2,1928.2,28,,,
2022-03-17,1933.9,1947.2,1933.9,1942.1,1942.1,39,,,
2022-03-16,1922.4,1922.4,1907.2,1908,1908,104,,,
2022-03-15,1939.8,1939.9,1910.7,1928.5,1928.5,71,,,
2022-03-14,1976.5,1977.7,1959.6,1959.6,1959.6,145,,,
2022-03-11,1985,1996,1959.9,1982.7,1982.7,865,,,
2022-03-10,1978.1,2010.5,1978.1,1998.1,1998.1,670,,,
2022-03-09,2053.6,2063,1980.8,1985.9,1985.9,1022,,,
2022-03-08,1999.4,2072,1998,2040.1,2040.1,1813,,,
2022-03-07,1989,2001.1,1963,1993.9,1993.9,2516,,,
2022-03-04,1937,1970.9,1935.6,1965.1,1965.1,47,,,
2022-03-03,1930.5,1940.3,1924.8,1934.4,1934.4,122,,,
2022-03-02,1945.6,1948.2,1919.8,1920.9,1920.9,109,,,
2022-03-01,1908.3,1942.4,1903.8,1942.4,1942.4,547,,,
2022-02-28,1928.3,1928.4,1894.2,1899.4,1899.4,390,,,
